,Genus,Species,Clade,SubClade,SubClade_Frat,PC1,PC2,PC3,PC4,PC5,dist5,dist4,dist3,dist2,Csize
M_par_9,Margaretamys,Margaretamys_parvus,Margaretamys,Margaretamys,Margaretamys,0.008216688,0.012945093,-0.0217802,-0.045586205,0.024695948,0.058287721,0.05279743,0.026635813,0.015332625,23.20468728
P_dom_6,Paruromys,Paruromys_dominator,Bunomys,Taeromys,Taeromys,-0.030294331,-0.010007595,0.028691102,-0.003191362,0.006395397,0.043499007,0.043026301,0.042907782,0.03190452,60.68779797
P_dom_7,Paruromys,Paruromys_dominator,Bunomys,Taeromys,Taeromys,-0.064475831,-0.00282549,0.007073845,-0.014584362,-0.021262165,0.069856559,0.06654216,0.064924229,0.064537712,57.06274626
R_exu_2,Rattus,Rattus_exulans,Rattus,Rattus,Rattus,-0.018482576,0.003294585,-0.000888145,-0.002931987,-0.028373226,0.034159702,0.019022231,0.018794912,0.018773916,29.82037307
R_exu_8,Rattus,Rattus_exulans,Rattus,Rattus,Rattus,-0.011456938,0.008696845,-0.003422545,-0.034242342,-0.01620725,0.040667226,0.037298101,0.014785478,0.014383899,29.0985015
R_fac_4,Rattus,Rattus_facetus,Rattus,Rattus,Rattus,-0.025316252,0.001340044,0.024832836,-0.020540767,-0.001110539,0.041018709,0.041003673,0.035487717,0.025351693,44.45549801
R_fac_5,Rattus,Rattus_facetus,Rattus,Rattus,Rattus,-0.026645501,-0.001986335,0.018877301,0.003372231,-0.016968496,0.037007872,0.032888489,0.032715146,0.026719436,44.13209317
R_hof_0,Rattus,Rattus_hoffmani,Rattus,Rattus,Rattus,-0.053418065,-0.024288111,0.033697018,-0.026959252,-0.003558835,0.07292707,0.072840183,0.067667503,0.058680508,44.60934651
R_hof_7,Rattus,Rattus_hoffmani,Rattus,Rattus,Rattus,-0.024608656,-0.001838944,0.029171214,0.012004386,-0.026631009,0.048096188,0.040050377,0.038208996,0.02467727,41.04897212
R_mol_0,Rattus,Rattus_mollicomulus,Rattus,Rattus,Rattus,-0.022590264,-0.010713293,0.025400496,0.003901428,-0.015725623,0.039150942,0.035853884,0.035640986,0.025001893,42.73469865
R_xan_5,Rattus,Rattus_xanthurus,Rattus,Rattus,Rattus,-0.014942723,0.002810262,0.027184211,0.032427177,-0.020194434,0.049289966,0.044963158,0.031147453,0.015204688,45.6309006
S_mac_4,Sommeromys,Sommeromys_macrorhinos,Echiothrix,Echiothrix,Echiothrix,0.045107912,-0.002578667,-0.004077673,-0.006054526,-0.029210121,0.054294466,0.045767433,0.045365192,0.045181558,23.97516043
S_mac_6,Sommeromys,Sommeromys_macrorhinos,Echiothrix,Echiothrix,Echiothrix,0.032689538,0.022987128,0.013176695,0.005484991,-0.015024481,0.045016212,0.042434943,0.042078964,0.039962657,23.59245242
S_mac_som2,Sommeromys,Sommeromys_macrorhinos,Echiothrix,Echiothrix,Echiothrix,0.040102991,-0.004507616,-0.00012517,-0.005435714,-0.029698286,0.050399597,0.040720156,0.04035572,0.040355526,23.96176835
T_arc_2,Taeromys,Taeromys_arcuatus,Bunomys,Taeromys,Taeromys,-0.012383811,-0.014790077,-0.02389083,0.00575501,0.043765392,0.053771801,0.031240952,0.030706301,0.019290027,52.49688126
T_arc_4,Taeromys,Taeromys_arcuatus,Bunomys,Taeromys,Taeromys,-0.003721665,-0.009399538,-0.047124293,0.013494952,0.007165524,0.050560454,0.050050123,0.048196484,0.010109506,46.9269336
T_cal_5,Taeromys,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,-0.012687542,-0.03054756,0.013556036,0.00546465,-0.004151375,0.036400406,0.036162904,0.035747633,0.033077593,47.7944851
T_cel_0,Taeromys,Taeromys_celebensis,Bunomys,Taeromys,Taeromys,-0.057910812,-0.002021851,-0.025240994,0.045934712,-0.01137012,0.07895654,0.078133575,0.063204887,0.057946096,49.27325087
T_cel_1,Taeromys,Taeromys_celebensis,Bunomys,Taeromys,Taeromys,-0.036209767,-0.038669909,-0.015845112,0.045425347,-0.020703791,0.074496213,0.071561434,0.055295358,0.052976496,45.91225797
T_ham_6,Taeromys,Taeromys_hamatus,Bunomys,Taeromys,Taeromys,-0.042606363,-0.014889271,0.009032535,-0.003277043,-0.008889059,0.04699291,0.046144537,0.046028027,0.045133054,44.36228264
T_ham_7,Taeromys,Taeromys_hamatus,Bunomys,Taeromys,Taeromys,-0.019580838,-0.025971495,0.003691759,0.008799464,-0.003796838,0.0341087,0.033896717,0.032734643,0.032525802,42.67596109
T_mac_9,Tateomys,Tateomys_macrocercus,Echiothrix,Echiothrix,Echiothrix,0.113267312,0.015247036,-0.020382445,-0.008963986,-0.009916887,0.116859308,0.116437765,0.116092205,0.114288915,27.63711273
T_rhi_7,Tateomys,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,0.143590829,0.06818723,-0.020112052,0.00711783,0.013145644,0.160921691,0.160383861,0.160225838,0.158958563,36.19699854
T_rhi_8,Tateomys,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,0.129190871,0.08156771,-0.012812406,0.0180418,0.006766124,0.15452837,0.15438017,0.153322308,0.152786035,35.56414389
T_tar_5,Taeromys,Taeromys_tarae,Bunomys,Taeromys,Taeromys,-0.016208063,-0.030367716,0.034275478,0.003762227,0.008422105,0.049444859,0.048722297,0.048576825,0.034422369,51.1959564
T_tar_7,Taeromys,Taeromys_tarae,Bunomys,Taeromys,Taeromys,-0.020370723,-0.035215902,0.021180056,0.005067562,-0.004879692,0.046402721,0.046145434,0.045866338,0.040683241,52.09483325
W_mam_7,Waiomys,Waiomys_mamasae,Echiothrix,Echiothrix,Echiothrix,0.03031725,0.001803601,-0.010353938,-0.006043005,-0.004559599,0.032968174,0.032651349,0.032087267,0.030370852,28.56525933
