,Genus,Species,Clade,SubClade,SubClade_Frat,PC1,PC2,PC3,PC4,PC5,dist5,dist4,dist3,dist2,Csize
M_ele_9,Margaretamys,Margaretamys_elegans,Margaretamys,Margaretamys,Margaretamys,0.057553697,-0.006678405,0.052119227,0.002199409,-0.002130027,0.077992419,0.077963327,0.077932297,0.057939875,39.33149236
M_ele_kcr8,Margaretamys,Margaretamys_elegans,Margaretamys,Margaretamys,Margaretamys,0.060856784,-0.012516403,-0.008954477,0.015681699,-0.007687796,0.065156804,0.064701676,0.062772535,0.062130576,39.7885998
M_hel_1,Maxomys,Maxomys_hellwaldii,Margaretamys,Margaretamys,Margaretamys,0.005373466,-0.011725994,-0.030319976,0.011743555,-0.061551814,0.07079697,0.034979782,0.032949568,0.012898568,43.49707797
M_hel_2,Maxomys,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,0.014153282,-0.023106184,-0.034720597,0.015380715,-0.033063965,0.057179744,0.046650802,0.044042377,0.02709633,44.74869656
M_mus_4,Maxomys,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,0.02371228,-0.032634024,-0.02848065,-0.010024072,-0.03802032,0.063122309,0.050387312,0.049380149,0.040339208,31.92970738
M_mus_5,Maxomys,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,0.007854464,-0.013050384,-0.01453144,0.001789253,-0.030236071,0.036886167,0.021127454,0.021051553,0.015231715,33.67116459
M_nas_4,Melasmothrix,Melasmothrix_naso,Echiothrix,Echiothrix,Echiothrix,-0.089465698,-0.054670056,0.076188522,-0.001415779,0.017681798,0.130813866,0.129613354,0.129605621,0.104847156,27.89062372
M_nas_5,Melasmothrix,Melasmothrix_naso,Echiothrix,Echiothrix,Echiothrix,-0.094391154,-0.043507969,0.074341015,0.003808033,0.002810277,0.127873447,0.127842563,0.127785836,0.103935717,28.9794466
M_par_8,Margaretamys,Margaretamys_parvus,Margaretamys,Margaretamys,Margaretamys,0.006232246,-0.026079212,0.037889918,0.069830556,-0.028406485,0.088531616,0.083850573,0.046417799,0.026813545,25.87768562
M_par_9,Margaretamys,Margaretamys_parvus,Margaretamys,Margaretamys,Margaretamys,-0.010444271,0.001417067,0.022994327,0.045359942,-0.026892269,0.058485454,0.051936059,0.02529486,0.010539966,23.20360303
P_dom_6,Paruromys,Paruromys_dominator,Bunomys,Taeromys,Taeromys,0.031269,-0.00595167,-0.02909588,0.003121045,-0.007442026,0.043873313,0.043237529,0.043124737,0.031830374,60.68983909
P_dom_7,Paruromys,Paruromys_dominator,Bunomys,Taeromys,Taeromys,0.063257628,-0.002761267,-0.005327083,0.014394706,0.021252927,0.068530463,0.065151649,0.06354156,0.063317865,57.06026329
R_exu_2,Rattus,Rattus_exulans,Rattus,Rattus,Rattus,0.017175541,-0.001436829,0.001100637,0.002990064,0.02961156,0.034410174,0.017527566,0.017270642,0.017235535,29.81876475
