"","Comp1","Comp2","Comp3","Comp4","Comp5","dist5","dist4","dist3","dist2","Csize"
"M_dol_2",-0.000294237193975557,-0.0129552033815382,-0.0253053720098145,0.0129536916679833,-0.0574608071725306,0.0654051084509946,0.0312423406704367,0.0284303662083069,0.0129585442926024,41.6863602675818
"M_ele_8",0.054697936983034,-0.00520802153006819,0.0389620830485628,-0.00184487228078608,0.0091386482672084,0.0679996335271366,0.067382752004301,0.0673574918917021,0.0549453164378695,39.5728517606384
"M_ele_9",0.0586066734445678,-0.0155553196719834,0.0485779041492673,0.00137115918840531,-0.00439131583638992,0.0778311418788526,0.077707161776706,0.077695063639019,0.0606358816406243,39.3306852994979
"M_ele_kcr8",0.0597618630726761,-0.0126559226761132,-0.0127514050246174,0.0165322158348429,-0.00633470034285344,0.0648667370510222,0.0645566816620302,0.0624039340651123,0.0610872544537815,39.7877859044505
"M_hel_1",0.00336700840568088,-0.00941389567838848,-0.0344308536216681,0.0158872085517537,-0.0590551616754749,0.0708897550753819,0.0392153701261528,0.0358530592636701,0.00999790865368888,43.4977622723442
"M_hel_2",0.0115810224985751,-0.0198701163911728,-0.0402266315266244,0.0187780711549905,-0.0289627724558774,0.0577804606776623,0.0499973944100285,0.0463370639066619,0.0229987305630389,44.7491985259621
"M_mus_4",0.0211714537567308,-0.0304101042692384,-0.0356281656516944,-0.00668600075954672,-0.0360406930762606,0.063134818025538,0.0518369915186113,0.0514039987116169,0.0370540806907868,31.9298064874854
"M_mus_5",0.00637391460230751,-0.012249235097691,-0.0181313189913188,0.00399423850833055,-0.0292476980345658,0.0372933916100902,0.0231380469673308,0.022790683978349,0.0138083506558899,33.6714398900971
"M_nas_4",-0.0891406004810012,-0.0622616264129754,0.0709006310322709,-0.00255509523883313,0.0170904407419069,0.130950631670522,0.129830600284202,0.129805455426483,0.108731581326229,27.8912589773416
"M_nas_5",-0.0936781117621545,-0.0508451959863151,0.0708381396522586,0.00301142806690781,0.00190884770876659,0.128029594259217,0.128015363556897,0.127979938301292,0.106587159537205,28.9801623211432
"M_par_8",0.00603817971848941,-0.0314426176823543,0.0332817775471069,0.0715583840232977,-0.0239258837229334,0.0884636918383789,0.0851667591361344,0.0461819719991101,0.0320171488585645,25.8776712014728
"M_par_9",-0.0100632318720757,-0.0013929094692784,0.0233839290342239,0.0460138463670143,-0.026074365432193,0.0587125502746825,0.052605047543611,0.0254954303666046,0.0101591747942815,23.203704122491
"P_dom_6",0.029819270240565,-0.00241333852244093,-0.0306351508014667,0.0039670331524737,-0.00664438885123693,0.0435133404873909,0.0430030568351271,0.0428196864202944,0.0299167692190139,60.6891337893865
"P_dom_7",0.0625006519766696,-0.00325973829713651,-0.0075434394824705,0.013778446422869,0.0221432803233863,0.0682204611521222,0.0645267886720558,0.0630385665327209,0.0625856005106173,57.0590428564842
"R_exu_2",0.0169180597141042,-0.00126018686958408,0.00114877615091982,0.00159900897094141,0.0299900166782786,0.0345121200759062,0.0170787977261381,0.0170037790529396,0.0169649289841209,29.8184652538422
"R_exu_8",0.00987358020014309,-0.0064482274590328,0.00666048222316865,0.0334852564570281,0.0210997043537126,0.0418316766408453,0.0361205155939138,0.0135436053832511,0.01179267668225,29.0984592360074
"R_fac_4",0.0242884359814612,-0.0103165147235284,-0.0211147981252079,0.0208330306894872,0.00440292591629145,0.0399448898192005,0.0397014919876283,0.0337963503700414,0.0263886073612519,44.4555082751847
"R_fac_5",0.0265210941911607,-0.00427087567247351,-0.0169684834469545,-0.00461809268843264,0.0196176303924035,0.0376260076129214,0.0321070868606086,0.0317732316045395,0.0268627775203187,44.1299944279347
"R_hof_0",0.0536790556870003,0.00584544152092308,-0.0405621277158188,0.0282439124469901,0.00757816222830829,0.0735937738122513,0.073202561438588,0.0675344090879384,0.0539963906758833,44.6118698305915
"R_hof_7",0.0227825362284757,-0.00870156458618751,-0.0300147282663187,-0.0123230052762633,0.027867641283079,0.0492352209893642,0.0405894266427744,0.0386735710291971,0.0243877260778737,41.0475998610011
"R_mol_0",0.0219956420382223,0.00024432373539101,-0.0282655723991886,-0.00398827325865373,0.0168955750597339,0.0398017251636139,0.0360377145418623,0.0358163446741158,0.0219969989489768,42.7360729304986
"R_xan_5",0.0133028838410445,-0.0124153745798508,-0.0256898798835636,-0.0325038277082843,0.0220842502002413,0.0503516742072688,0.0452501600943917,0.0314813940745681,0.0181963799819175,45.631001860124
"S_mac_4",-0.0462318672968597,0.012335400427603,0.00044250312388697,0.00431759022099054,0.0263342454507084,0.0547893925432008,0.0480456559097157,0.0478512640008433,0.0478492179399387,23.9753141000147
"S_mac_6",-0.0369450292666645,-0.018860580896553,-0.00702297092293501,-0.00578870466954326,0.0110775855178044,0.0438885044460388,0.0424674925278818,0.0420711162183095,0.0414807991638314,23.5913164598421
"S_mac_som2",-0.0408597334948715,0.0115062002131245,-0.00380813901185501,0.00396409971568683,0.0281774387131887,0.0512454341999505,0.0428033465269475,0.0426193898049942,0.042448915941593,23.9623225540131
"T_arc_2",0.013623177309995,0.0207758454921643,0.0148844610647553,-0.00479307759806077,-0.0458504194132449,0.0544427079630831,0.0293555359341827,0.0289615934838203,0.0248440478975115,52.497597686238
"T_arc_4",0.00455108875013572,0.0260576972506576,0.0390867607671133,-0.014758540134938,-0.00843045028390407,0.0501635112505898,0.0494500290090781,0.0471963013602135,0.0264521453727016,46.9264502725729
"T_cal_5",0.0135547755652774,0.0250822127608458,-0.0253850575586915,-0.00532334253622336,-0.000253655353213105,0.0385441668953894,0.0385433322459465,0.0381739503439644,0.0285105127559182,47.7965184216522
"T_cel_0",0.0577534168180111,0.00569105331325309,0.0228754461656511,-0.0474489062455523,0.0127792892689456,0.0794093207209671,0.0783742941476734,0.0623789329761805,0.0580331391703845,49.2707939811385
"T_cel_1",0.0388135600883487,0.039726154887838,-0.000258940568007971,-0.0473136313249049,0.0179470541337466,0.0751358991451541,0.072960993608031,0.0555403176001192,0.0555397139793171,45.9134700593266
"T_mac_9",-0.115415721454913,0.00571473582899158,0.0211618197146768,0.00829970840825184,0.00672764032932987,0.117963621011956,0.117771621105645,0.117478804804057,0.115557115594641,27.6404826978449
"T_rhi_7",-0.149514545006604,-0.042579608154924,0.039420156769933,-0.00635603712368855,-0.0140344392880517,0.161117769513398,0.160505358685753,0.160379459279936,0.155459390836188,36.1995273870728
"T_rhi_8",-0.136897522734251,-0.0583821912062548,0.0372631749174184,-0.0171068893520831,-0.00607042461477109,0.154490944407925,0.154371635506816,0.153420846646552,0.148826785159186,35.5644493478247
"T_tar_5",0.0183253570733295,0.0164695420977303,-0.0431880707372106,-0.0034666908097933,-0.0104420204665522,0.0509247260117406,0.0498426717577113,0.0497219668031771,0.0246386795257769,51.1984559043136
"T_tar_7",0.0223225144097933,0.025018878255183,-0.0332861318791529,-0.00486400087207386,0.00352493857309319,0.0476265597185758,0.0474959366544443,0.0472462220098015,0.033529672213177,52.0982960249469
"W_mam_7",-0.0300957517734557,0.010813709434271,0.0117408986595179,0.00348035716604356,-0.000251085665124802,0.0342449298128326,0.0342440093136683,0.0340666888304598,0.0319795338699347,28.5635625189535
