"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20"
"M_hel_2",-0.0123577326655578,0.00170097394164739,0.0423873776907052,-0.0155757719948482,0.0354138886543484,-0.0333144590353449,-0.00469238382776282,0.0102137342190572,0.00510184334479918,-0.0114442408392928,-4.19586171074613e-06,0.0212287747868521,0.00332349250919086,-0.00257940310664125,0.0115349108657667,0.00265411912258474,0.0101329926550766,-0.0177471609992127,-0.00432302545509829,-0.00169976153517747
"M_mus_4",-0.0230996376527589,0.0131566874638182,0.0415261771555754,0.00959597872455524,0.0395133100413334,-0.0105543530245915,-0.00857290697692038,0.00915931890295862,-0.00416103810223767,0.0107067139800907,-0.00463611643093086,0.0210611511434509,-0.00814618661720632,-0.0058531840804566,0.0111488530088218,-0.00311147274785891,0.0136578236584674,0.0274474209486201,0.00437127884602248,-0.00208460544145016
"M_mus_5",-0.00764426248695766,0.00501836941372176,0.0189223628507512,-0.00223719999146091,0.0300097367328834,0.00232687474105455,0.00308149532767923,-0.00292541509464229,0.0138267605709902,0.017134320272,-0.0117414285050055,-0.00502943180880621,0.00427586758193641,-0.00870685072090193,0.00773406004153329,0.00291610204172654,0.0233377710122754,0.0163749297994229,0.00127736862696627,-0.00449015901090919
"M_nas_4",0.0789641822855361,0.0949959018117062,-0.0436624222534571,0.00164522618682293,-0.0186021723373631,0.00853339246276282,0.0152450145118266,-0.0132804599513278,0.000194667982935104,0.0169648031958802,-0.0099265281645696,0.00631996466145386,0.00515193604448068,-0.00765890445820215,-0.00423826623057004,-0.00293053387718755,0.00323001399633442,-0.00084657142776671,-0.00271855415612533,0.00390758055268849
"M_nas_5",0.0849405037846421,0.0845467172276001,-0.047567801486858,-0.00363981450964703,-0.00416305992849245,0.0115452433218252,0.00944019225926142,-0.00940844503184741,-0.000190669935765385,0.000422009948725556,0.0016029917514089,0.0123792001629059,0.00677127864805323,-0.0117176964484936,-0.0185821112135377,-0.00504894411764023,-0.00725482611065436,0.00404154874667065,0.00479586122036994,-0.000254813338062156
"M_par_8",-0.0102158214977791,0.0421214292222608,-0.020318130158095,-0.0704197964176699,0.0304276446879794,-0.00282275177553593,-0.0634388038443574,-0.0185707507314848,-0.0532169936347031,-0.0128376853067597,-0.0199647032834964,-0.020648562515997,-0.0122009745782612,-0.0118823102772836,-0.00122374390104622,-0.0082996395111506,-0.00681963855772392,-0.00514254858127397,0.00538683600928864,-0.00948431564957878
"M_par_9",0.00821668814072029,0.0129450927878952,-0.0217802002166028,-0.0455862048569218,0.0246959484700539,0.0212507990588512,0.00475623988085579,0.00453159647870811,0.000860114734837454,0.000876013567393468,0.00692407940308568,0.00849703524865483,-0.0110179469380987,-0.00160817344499087,0.018021810476217,0.0114655940945093,-0.00324712148468649,0.0111255128458096,-0.00928752011790844,0.00110749579296757
"P_dom_6",-0.0302943306241874,-0.0100075949881738,0.0286911019180438,-0.00319136215742795,0.00639539698579223,0.00784001542760118,0.0118531475821521,-0.0144545401202538,0.0114848355453154,-0.00809830383248594,0.00224212571664073,0.00654923228402135,0.000458877858102911,0.00705610789222062,-0.0133445576421032,-0.0137807861226055,0.0108133663037583,0.00492370298920318,-0.0103922090860566,-0.00763501737989614
"P_dom_7",-0.064475831329895,-0.00282548951407466,0.00707384473365802,-0.0145843621727122,-0.0212621647879904,0.00655286696054914,0.00671834571344474,-0.0244397839909345,0.0153104614639221,0.0196757920073543,-0.0177476739541463,-0.00842520740457855,0.013124716127044,0.0139239777038306,-0.00400436012967837,-0.00610671954732761,0.000721833376411298,0.00512668073550881,-0.00896697268885217,-0.0184941143102743
"R_exu_2",-0.0184825761695923,0.00329458455251977,-0.00088814474225477,-0.00293198723185912,-0.028373226412602,-0.00403498411748948,-0.0197862038429904,0.0119674416217425,-0.0233997757227363,0.00813979996052353,0.00116965473662757,-0.0101457377620779,0.00531032309656273,0.0119929653614038,0.00896666132200327,-0.0126252697259232,0.000841146213598703,0.00105868528185618,0.00868895026997493,0.00391897636101454
