Collector_Number,Catalog_Number,Species,Clade,SubClade,SubClade_Frat,Community,Confirmed_ID,elev_min,elev_max,mhb_elev_min,mhb_elev_max,Sample Mass (mg),Carbon Content (mg),Carbon Content (%),Corrected_13C,Nitrogen Content (mg),Nitrogen Content (%),Corrected_15N,C/N Ratio,Notes
JAE_5095,LSUMZ_39226,Taeromys_tarae,Bunomys,Taeromys,Taeromys,Ambang,X,1460,1592,600,800,0.575,0.254140882,44.19841428,-25.24974396,0.079500775,13.82622166,3.838405267,3.196709512,
MTS_72,LSUMZ_39223,Taeromys_tarae,Bunomys,Taeromys,Taeromys,Ambang,Measurements,1460,1592,600,800,0.587,0.259038834,44.12927324,-25.22206835,0.082428287,14.04229761,3.708782192,3.142596352,
MTS_118,LSUMZ_39224,Taeromys_tarae,Bunomys,Taeromys,Taeromys,Ambang,X,1460,1592,600,800,0.582,0.251892886,43.2805646,-24.42794841,0.08482626,14.5749587,2.886218603,2.969515419,
JAE_5081,LSUMZ_39225,Taeromys_tarae,Bunomys,Taeromys,Taeromys,Ambang,Measurements,1460,1592,600,800,0.619,0.274736525,44.38392971,-24.78530146,0.094180459,15.21493688,2.015106131,2.917128745,
JAE_5079,MZB,Taeromys_tarae,Bunomys,Taeromys,Taeromys,Ambang,Measurements,1460,1592,600,800,0.62,0.274245241,44.23310339,-25.06071554,0.093933742,15.15060353,1.293916114,2.919560485,
JAE_5102,LSUMZ_39227,Taeromys_tarae,Bunomys,Taeromys,Taeromys,Ambang,X,1460,1592,600,800,0.613,0.274183565,44.72815084,-26.2874781,0.093013065,15.17342003,0.501480172,2.947796262,
KCR_1672,,Tateomys_macrocercus,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,1590,2670,1600,2285,0.576,0.257215707,44.65550465,-23.03755535,0.081579105,14.16303899,5.121787378,3.152960653,
KCR_1339,MZB,Tateomys_macrocercus,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,1590,2670,1600,2285,0.603,0.278012739,46.10493187,-23.72095058,0.088841101,14.73318423,5.058790013,3.129325687,
KCR_1361,MZB,Tateomys_macrocercus,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,1590,2670,1600,2285,0.609,0.279106855,45.83035391,-23.62447586,0.089128935,14.6352931,4.929005888,3.131495461,
KCR_1304,MZB,Tateomys_macrocercus,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,1590,2670,1600,2285,0.608,0.280218134,46.0885089,-24.17979733,0.089577661,14.73316791,4.220685952,3.12821446,
KCR_1549,MZB,Tateomys_macrocercus,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,1590,2670,1600,2285,0.625,0.284641796,45.54268734,-22.42394356,0.09123529,14.59764638,4.08521805,3.11986509,
JAE_4299,MZB,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,2200,2640,2100,2600,0.618,0.283603458,45.89052722,-22.79882676,0.092819115,15.01927431,5.481715348,3.055442377,
JAE_4360,,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,2200,2640,2100,2600,0.585,0.25906979,44.28543423,-22.75616885,0.080889975,13.82734621,5.39115848,3.202742852,
KCR_1380,MZB,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,2200,2640,2100,2600,0.608,0.276536755,45.48301891,-22.6276097,0.090479541,14.88150345,5.112357125,3.056345689,
JAE_4387,,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,2200,2640,2100,2600,0.584,0.25992649,44.50796065,-22.6596017,0.083785631,14.34685457,4.456216631,3.102280045,
JAE_4333,MZB,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,2200,2640,2100,2600,0.612,0.279151907,45.61305672,-22.70429727,0.091830147,15.00492597,4.390272214,3.03987216,
KCR_1357,MZB,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,2200,2640,2100,2600,0.594,0.268215036,45.15404649,-22.29433699,0.087077195,14.65946039,3.961518905,3.080198403,
HH_821,MV,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,Latimojong,X,2260,2518,2100,2600,0.624,0.285595468,45.76850445,-22.71685021,0.089509712,14.34450507,8.255064978,3.190664595,
KCR_2694,MV,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,Latimojong,X,2260,2518,2100,2600,0.62,0.277690806,44.7888396,-22.46104347,0.090478386,14.59328803,7.239703196,3.069139696,
KCR_2484,MV,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,Latimojong,X,2260,2518,2100,2600,0.585,0.255917262,43.74654057,-23.38486106,0.081666008,13.9600014,7.025091122,3.133706031,
KCR_1723,MZB,Waiomys_mamasae,Echiothrix,Echiothrix,Echiothrix,Gandangdewata,X,1600,1600,1600,1600,0.584,0.263872897,45.1837152,-23.78356927,0.084690386,14.50177845,5.776133773,3.11573614,
